Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,direction
17/02/2015,127.489998,128.880005,126.919998,127.830002,Increasing
18/02/2015,127.629997,128.779999,127.449997,128.720001,Increasing
19/02/2015,128.479996,129.029999,128.330002,128.449997,Decreasing
20/02/2015,128.619995,129.5,128.050003,129.5,Increasing
23/02/2015,130.020004,133,129.660004,133,Increasing
24/02/2015,132.940002,133.600006,131.169998,132.169998,Decreasing
25/02/2015,131.559998,131.600006,128.149994,128.789993,Decreasing
26/02/2015,128.789993,130.869995,126.610001,130.419998,Increasing
27/02/2015,130,130.570007,128.240005,128.460007,Decreasing
02/03/2015,129.25,130.279999,128.300003,129.089996,Decreasing
03/03/2015,128.960007,129.520004,128.089996,129.360001,Increasing
04/03/2015,129.100006,129.559998,128.320007,128.539993,Decreasing
05/03/2015,128.580002,128.75,125.760002,126.410004,Decreasing
06/03/2015,128.399994,129.369995,126.260002,126.599998,Decreasing
